4505,1,1221,183,1458,510
4506,1,1221,183,1458,510
4507,1,1203,183,1440,519
4508,1,1203,183,1440,519
4509,1,1185,183,1425,510
4510,1,1185,183,1425,510
4511,1,1152,192,1410,501
4512,1,1152,192,1410,501
4513,1,1131,180,1395,504
4514,1,1131,180,1395,504
4515,1,1122,189,1371,507
4516,1,1122,189,1371,507
4517,1,1086,183,1350,510
4518,1,1086,183,1350,510
4519,1,1080,198,1335,504
4520,1,1080,198,1335,504
4521,1,1056,189,1320,516
4522,1,1056,189,1320,516
4523,1,1041,198,1299,525
4524,1,1041,198,1299,525
4525,1,1026,189,1290,525
4526,1,1026,189,1290,525
4527,1,1026,189,1278,549
4528,1,1026,189,1278,549
4529,1,1008,177,1269,531
4530,1,1008,177,1269,531
4531,1,1002,180,1260,534
4532,1,1002,180,1260,534
4533,1,1014,213,1257,537
4534,1,1014,213,1257,537
4535,1,990,192,1254,537
4536,1,990,192,1254,537
4537,1,981,195,1239,546
4538,1,981,195,1239,546
4539,1,972,207,1236,537
4540,1,972,207,1236,537
4541,1,951,213,1266,543
4542,1,951,213,1266,543
4543,1,936,207,1224,549
4544,1,936,207,1224,549
4545,1,945,228,1209,555
4546,1,945,228,1209,555
4547,1,942,219,1197,561
4548,1,942,219,1197,561
4549,1,924,207,1185,567
4550,1,924,207,1185,567
4551,1,933,192,1191,552
4552,1,933,192,1191,552
4553,1,912,204,1188,552
4554,1,912,204,1188,552
4555,1,915,207,1179,549
4556,1,915,207,1179,549
4557,1,900,210,1167,546
4558,1,900,210,1167,546
4559,1,891,201,1152,561
4560,1,891,201,1152,561
4561,1,882,198,1119,564
4562,1,882,198,1119,564
4563,1,861,198,1104,549
4564,1,861,198,1104,549
4565,1,840,198,1071,555
4566,1,840,198,1071,555
4567,1,828,195,1056,540
4568,1,828,195,1056,540
4569,1,813,183,1026,534
4570,1,813,183,1026,534
4571,1,804,204,1005,498
4572,1,804,204,1005,498
4573,1,804,204,1005,498
4574,1,804,204,1005,498
4575,1,816,159,1032,525
4576,1,816,159,1032,525
4577,1,786,171,1041,507
4578,1,786,171,1041,507
4579,1,783,162,1041,525
4580,1,783,162,1041,525
4581,1,774,285,1059,516
4582,1,774,285,1059,516
4583,1,768,252,993,519
4584,1,768,252,993,519
4585,1,750,333,981,525
4586,1,750,333,981,525
4587,1,744,351,954,537
4588,1,744,351,954,537
4589,1,744,351,954,537
4590,1,744,351,954,537
4591,1,729,318,954,555
4592,1,729,318,954,555
4593,1,765,198,1077,555
4594,1,765,198,1077,555
4595,1,765,198,1077,555
4596,1,765,198,1077,555
4597,1,765,198,1077,555
4598,1,765,198,1077,555
4599,1,765,198,1077,555
4600,1,765,198,1077,555
4601,1,765,198,1077,555
4602,1,765,198,1077,555
4603,1,765,198,1077,555
4604,1,765,198,1077,555
4605,1,765,198,1077,555
4606,1,765,198,1077,555
4607,5,1356,207,1581,480
4607,1,765,198,1077,555
4608,1,765,198,1077,555
4608,5,1356,207,1581,480
4609,5,1356,204,1578,480
4609,1,837,180,1032,456
4610,1,837,180,1032,456
4610,5,1356,204,1578,480
4611,5,1356,204,1581,477
4611,1,837,180,1032,456
